Starting epoch 1... 16250 batches total
  Batch 100/16250, Loss: 9.7271
    Avg batch data load: 0.10, Avg batch training: 0.43
  Batch 200/16250, Loss: 13.5498
    Avg batch data load: 0.05, Avg batch training: 0.43
  Batch 300/16250, Loss: 14.0526
    Avg batch data load: 0.04, Avg batch training: 0.42
  Batch 400/16250, Loss: 12.6611
    Avg batch data load: 0.03, Avg batch training: 0.42
  Batch 500/16250, Loss: 15.2413
    Avg batch data load: 0.02, Avg batch training: 0.43
  Batch 600/16250, Loss: 9.7522
    Avg batch data load: 0.02, Avg batch training: 0.43
  Batch 700/16250, Loss: 12.6866
    Avg batch data load: 0.02, Avg batch training: 0.43
  Batch 800/16250, Loss: 12.9207
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 900/16250, Loss: 8.1129
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1000/16250, Loss: 10.3510
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1100/16250, Loss: 12.7194
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1200/16250, Loss: 14.1778
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1300/16250, Loss: 8.6067
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1400/16250, Loss: 13.5559
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1500/16250, Loss: 9.2608
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1600/16250, Loss: 12.1060
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1700/16250, Loss: 13.7550
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1800/16250, Loss: 11.1322
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 1900/16250, Loss: 14.0311
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2000/16250, Loss: 15.6317
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2100/16250, Loss: 9.7359
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2200/16250, Loss: 11.9155
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2300/16250, Loss: 5.9394
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2400/16250, Loss: 12.1207
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2500/16250, Loss: 11.5022
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2600/16250, Loss: 14.1736
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2700/16250, Loss: 8.0240
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2800/16250, Loss: 8.9468
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 2900/16250, Loss: 11.9112
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 3000/16250, Loss: 10.1599
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 3100/16250, Loss: 11.0040
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 3200/16250, Loss: 10.5858
    Avg batch data load: 0.01, Avg batch training: 0.43
  Batch 3300/16250, Loss: 14.6114
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 3400/16250, Loss: 9.2929
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 3500/16250, Loss: 11.1403
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 3600/16250, Loss: 10.1586
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 3700/16250, Loss: 9.5859
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 3800/16250, Loss: 8.1516
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 3900/16250, Loss: 9.6763
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4000/16250, Loss: 8.6685
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4100/16250, Loss: 14.6209
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4200/16250, Loss: 9.4739
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4300/16250, Loss: 9.6721
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4400/16250, Loss: 7.4211
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4500/16250, Loss: 10.3592
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4600/16250, Loss: 11.1245
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4700/16250, Loss: 16.0645
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4800/16250, Loss: 6.8636
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 4900/16250, Loss: 8.8471
    Avg batch data load: 0.00, Avg batch training: 0.43
  Batch 5000/16250, Loss: 11.4877
    Avg batch data load: 0.00, Avg batch training: 0.43
