Starting epoch 1... 16250 batches total
  Batch 100/16250, Loss: 5.0655
    Avg batch data load: 0.16, Avg batch training: 0.04
  Batch 200/16250, Loss: 4.4510
    Avg batch data load: 0.12, Avg batch training: 0.04
  Batch 300/16250, Loss: 4.7741
    Avg batch data load: 0.11, Avg batch training: 0.04
  Batch 400/16250, Loss: 4.5019
    Avg batch data load: 0.13, Avg batch training: 0.03
  Batch 500/16250, Loss: 4.8260
    Avg batch data load: 0.13, Avg batch training: 0.03
  Batch 600/16250, Loss: 4.6475
    Avg batch data load: 0.12, Avg batch training: 0.03
  Batch 700/16250, Loss: 4.7062
    Avg batch data load: 0.14, Avg batch training: 0.03
  Batch 800/16250, Loss: 4.8748
    Avg batch data load: 0.13, Avg batch training: 0.03
  Batch 900/16250, Loss: 4.4528
    Avg batch data load: 0.12, Avg batch training: 0.03
  Batch 1000/16250, Loss: 4.8595
    Avg batch data load: 0.12, Avg batch training: 0.03
  Batch 1100/16250, Loss: 4.6421
    Avg batch data load: 0.12, Avg batch training: 0.03
  Batch 1200/16250, Loss: 4.5965
    Avg batch data load: 0.11, Avg batch training: 0.03
  Batch 1300/16250, Loss: 4.9796
    Avg batch data load: 0.11, Avg batch training: 0.03
  Batch 1400/16250, Loss: 4.6503
    Avg batch data load: 0.11, Avg batch training: 0.03
  Batch 1500/16250, Loss: 4.6218
    Avg batch data load: 0.11, Avg batch training: 0.03
  Batch 1600/16250, Loss: 4.7028
    Avg batch data load: 0.10, Avg batch training: 0.03
  Batch 1700/16250, Loss: 4.4941
    Avg batch data load: 0.10, Avg batch training: 0.03
  Batch 1800/16250, Loss: 4.6426
    Avg batch data load: 0.10, Avg batch training: 0.03
  Batch 1900/16250, Loss: 4.7303
    Avg batch data load: 0.10, Avg batch training: 0.03
  Batch 2000/16250, Loss: 4.7762
    Avg batch data load: 0.10, Avg batch training: 0.03
  Batch 2100/16250, Loss: 4.8473
    Avg batch data load: 0.10, Avg batch training: 0.03
  Batch 2200/16250, Loss: 4.5674
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 2300/16250, Loss: 4.8305
    Avg batch data load: 0.10, Avg batch training: 0.03
  Batch 2400/16250, Loss: 4.7615
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 2500/16250, Loss: 4.3648
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 2600/16250, Loss: 4.7743
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 2700/16250, Loss: 4.6071
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 2800/16250, Loss: 4.9834
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 2900/16250, Loss: 4.6584
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3000/16250, Loss: 4.9513
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3100/16250, Loss: 4.8794
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3200/16250, Loss: 4.8086
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3300/16250, Loss: 4.6988
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3400/16250, Loss: 4.8363
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3500/16250, Loss: 4.6939
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3600/16250, Loss: 4.6950
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3700/16250, Loss: 4.5479
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3800/16250, Loss: 4.7946
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 3900/16250, Loss: 4.7722
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 4000/16250, Loss: 4.6362
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 4100/16250, Loss: 4.7569
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 4200/16250, Loss: 4.4041
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 4300/16250, Loss: 4.5999
    Avg batch data load: 0.09, Avg batch training: 0.03
  Batch 4400/16250, Loss: 4.8333
